3連単,型00_3号艇ド弱_壁抜け型,型01_5号艇エース_展開型,型02_4カド一撃型,型03_4カド一撃型,型04_6号艇エース_展開型,型05_6号艇エース_展開型,型06_2号艇軸_標準型,型07_イン凹み_中枠強襲型,型08_6号艇ド弱_壁抜け型,型09_4号艇ド弱_壁抜け型,型10_2号艇ド弱_壁抜け型,型11_5号艇ド弱_壁抜け型
4-3-5,0.26,0.55,0.63,0.43,0.36,0.11,0.24,0.59,0.94,0.12,0.58,0.45
4-3-6,0.3,0.33,0.51,0.18,0.32,0.8,0.1,0.33,0.19,0.12,0.55,0.5
4-5-1,0.56,0.29,2.05,2.76,0.64,0.21,0.62,0.56,0.69,0.0,0.61,0.72
4-5-2,0.52,0.29,0.6,1.47,0.52,0.05,0.69,0.56,1.13,0.29,0.26,0.32
4-5-3,0.19,0.48,0.97,1.23,0.6,0.05,0.27,0.73,0.63,0.0,0.29,0.63
4-5-6,0.7,0.59,1.9,0.55,1.33,0.16,0.48,0.83,0.19,0.06,0.61,0.23
4-6-1,0.67,0.15,1.0,0.06,0.6,1.54,0.21,0.26,0.06,0.18,0.64,0.18
4-6-2,0.63,0.04,0.42,0.06,0.52,1.06,0.24,0.13,0.0,0.12,0.19,0.14
4-6-3,0.22,0.11,0.39,0.06,0.4,0.53,0.14,0.4,0.0,0.0,0.45,0.14
4-6-5,0.41,0.18,0.54,0.18,0.88,0.42,0.21,0.33,0.0,0.18,0.39,0.0
5-1-2,0.33,1.21,0.39,0.49,0.48,0.05,0.89,0.43,1.25,1.28,0.1,0.27
5-1-3,0.15,1.87,0.27,0.67,0.12,0.16,0.55,0.53,0.88,0.53,0.26,0.14
5-1-4,0.33,0.73,0.91,1.23,0.36,0.05,0.86,0.2,0.56,0.12,0.19,0.23
5-1-6,0.19,0.73,0.54,0.06,0.8,0.0,0.72,0.33,0.31,1.23,0.39,0.05
5-2-1,0.26,0.33,0.27,0.31,0.24,0.05,1.0,0.56,1.25,0.82,0.16,0.09
5-2-3,0.07,0.59,0.0,0.25,0.24,0.05,0.41,0.59,0.81,0.76,0.03,0.09
5-2-4,0.15,0.29,0.18,0.18,0.32,0.0,0.41,0.33,0.69,0.12,0.06,0.14
5-2-6,0.04,0.22,0.18,0.12,0.44,0.0,0.48,0.23,0.31,1.17,0.03,0.05
5-3-1,0.11,0.7,0.18,0.06,0.24,0.0,0.27,0.17,0.75,0.7,0.1,0.14
5-3-2,0.15,0.4,0.21,0.06,0.2,0.0,0.27,0.33,0.75,0.64,0.06,0.18
5-3-4,0.07,0.44,0.21,0.25,0.24,0.0,0.21,0.36,0.31,0.12,0.03,0.14
