3連単,型00_イン凹み_中枠強襲型,型01_4カド一撃型,型02_3号艇軸_標準型,型03_2号艇軸_標準型,型04_5号艇エース_展開型,型05_4カド一撃型,型06_6号艇エース_展開型,型07_6号艇ド弱_壁抜け型,型08_5号艇エース_展開型,型09_5号艇エース_展開型,型10_6号艇エース_展開型,型11_イン凹み_中枠強襲型
6-1-2,0.42,0.32,0.3,0.11,0.0,0.06,1.14,0.0,0.58,0.1,0.73,0.2
6-1-3,0.13,0.18,0.57,0.15,0.0,0.06,0.68,0.0,0.69,0.1,0.85,0.4
6-1-4,0.21,0.39,0.26,0.11,0.07,0.06,0.85,0.0,0.0,0.1,0.92,0.13
6-1-5,0.21,0.18,0.09,0.04,0.0,0.0,0.39,0.0,0.12,0.22,0.12,0.23
6-2-1,0.38,0.11,0.13,0.15,0.0,0.0,0.57,0.0,0.29,0.13,0.31,0.07
6-2-3,0.13,0.0,0.09,0.11,0.07,0.0,0.25,0.0,0.35,0.0,0.49,0.17
6-2-4,0.04,0.18,0.09,0.04,0.07,0.0,0.5,0.0,0.17,0.0,0.55,0.17
6-2-5,0.17,0.04,0.04,0.0,0.0,0.0,0.14,0.0,0.12,0.1,0.12,0.03
6-3-1,0.08,0.11,0.52,0.15,0.0,0.0,0.57,0.13,0.4,0.0,0.55,0.13
6-3-2,0.13,0.07,0.17,0.11,0.0,0.0,0.36,0.0,0.0,0.0,0.24,0.03
6-3-4,0.04,0.07,0.26,0.11,0.0,0.12,0.18,0.0,0.06,0.0,0.43,0.27
6-3-5,0.0,0.11,0.09,0.04,0.0,0.0,0.28,0.0,0.12,0.0,0.06,0.17
6-4-1,0.04,0.28,0.09,0.0,0.0,0.06,0.36,0.0,0.0,0.13,0.55,0.13
6-4-2,0.13,0.07,0.0,0.04,0.07,0.0,0.28,0.0,0.12,0.03,0.12,0.37
6-4-3,0.0,0.11,0.13,0.0,0.0,0.0,0.21,0.0,0.06,0.0,0.24,0.1
6-4-5,0.13,0.25,0.0,0.0,0.0,0.06,0.39,0.0,0.12,0.06,0.18,0.1
6-5-1,0.08,0.04,0.09,0.08,0.0,0.0,0.39,0.0,0.35,0.22,0.0,0.03
6-5-2,0.08,0.0,0.0,0.08,0.0,0.0,0.36,0.0,0.12,0.1,0.06,0.1
6-5-3,0.13,0.0,0.0,0.0,0.0,0.0,0.18,0.06,0.35,0.1,0.0,0.07
6-5-4,0.08,0.07,0.0,0.0,0.0,0.12,0.18,0.06,0.0,0.13,0.06,0.0
