3連単,型00_2号艇軸_標準型,型01_1強_6号艇ド弱型,型02_4カド一撃型,型03_3号艇軸_標準型,型04_4カド一撃型,型05_5号艇エース_展開型,型06_6号艇エース_展開型,型07_6号艇エース_展開型,型08_1号艇一強_王道型,型09_6号艇エース_展開型,型10_1号艇軸_標準型,型11_イン凹み_中枠強襲型
2-5-4,0.84,0.28,0.12,0.22,1.02,0.92,0.4,0.51,0.14,0.13,0.23,0.59
2-5-6,0.28,0.09,0.0,0.09,0.0,0.85,0.36,0.25,0.17,0.0,0.86,0.11
2-6-1,0.35,0.0,0.12,0.18,0.06,0.22,0.56,0.42,0.31,1.53,0.86,0.18
2-6-3,0.35,0.05,0.17,0.04,0.06,0.18,0.48,0.34,0.02,1.13,0.51,0.15
2-6-4,0.49,0.09,0.35,0.13,0.0,0.15,0.76,0.34,0.12,0.8,0.11,0.15
2-6-5,0.18,0.0,0.0,0.04,0.06,0.26,0.28,0.25,0.0,0.0,0.69,0.15
3-1-2,1.55,1.77,1.22,3.37,1.42,0.85,0.88,1.01,1.49,1.99,1.71,0.55
3-1-4,1.23,2.24,2.27,3.72,2.62,0.74,1.85,0.76,1.92,2.66,0.57,1.81
3-1-5,0.7,0.75,0.47,3.1,1.31,1.25,1.08,0.34,1.15,0.47,1.77,0.78
3-1-6,0.49,0.33,0.58,1.33,0.46,0.51,1.93,0.55,1.01,2.46,1.31,0.37
3-2-1,1.72,0.75,1.11,2.08,1.48,0.63,1.0,0.55,0.84,1.8,1.43,0.52
3-2-4,1.06,1.07,2.16,2.48,2.56,0.7,1.21,0.68,0.41,1.53,0.34,0.85
3-2-5,1.16,0.33,0.17,2.26,1.76,1.25,0.96,0.3,0.36,0.4,1.66,0.3
3-2-6,0.99,0.09,0.29,0.66,0.0,0.4,1.08,0.51,0.29,1.53,1.03,0.37
3-4-1,0.6,0.61,1.92,2.39,1.99,0.4,1.08,0.42,1.1,0.66,0.11,1.37
3-4-2,1.13,0.61,2.51,2.04,1.76,0.44,1.17,0.51,0.69,1.2,0.23,1.11
3-4-5,0.81,0.28,0.52,2.53,1.54,0.74,0.96,0.21,0.38,0.2,0.23,1.37
3-4-6,0.25,0.14,1.34,1.2,0.23,0.26,1.33,0.47,0.36,1.0,0.29,0.59
3-5-1,0.28,0.14,0.06,1.64,1.14,0.96,0.52,0.17,0.43,0.2,0.63,0.37
3-5-2,0.46,0.28,0.06,1.37,1.14,1.18,0.6,0.08,0.14,0.0,0.91,0.3
3-5-4,0.32,0.09,0.12,1.02,1.25,0.7,0.56,0.17,0.41,0.07,0.34,0.74
3-5-6,0.25,0.09,0.12,0.53,0.06,0.26,0.84,0.04,0.29,0.0,0.97,0.26
3-6-1,0.11,0.0,0.47,0.22,0.0,0.18,0.72,0.21,0.12,0.8,0.34,0.04
