3連単,型00_イン凹み_中枠強襲型,型01_イン凹み_中枠強襲型,型02_イン凹み_中枠強襲型,型03_1強_6号艇ド弱型,型04_イン凹み_中枠強襲型,型05_イン凹み_中枠強襲型,型06_1号艇一強_王道型,型07_4号艇ド弱_壁抜け型,型08_2号艇軸_標準型,型09_6号艇エース_展開型,型10_1号艇一強_王道型,型11_5号艇エース_展開型
5-3-1,0.08,0.29,0.36,0.39,0.41,0.21,0.12,0.33,0.04,0.67,0.0,0.9
5-3-2,0.08,0.4,0.18,0.2,0.09,0.13,0.03,0.33,0.08,0.44,0.0,0.77
5-3-4,0.0,0.8,0.09,0.1,0.32,0.13,0.09,0.04,0.04,0.0,0.0,0.63
5-3-6,0.0,0.51,0.18,0.0,0.46,0.21,0.03,0.37,0.04,0.3,0.0,0.77
5-4-1,0.08,0.4,0.0,0.2,0.32,0.3,0.33,0.17,0.13,0.0,0.0,0.27
5-4-2,0.0,0.91,0.09,0.25,0.05,0.21,0.03,0.08,0.21,0.15,0.06,0.45
5-4-3,0.0,0.57,0.04,0.15,0.37,0.17,0.15,0.12,0.13,0.22,0.0,0.36
5-4-6,0.0,0.23,0.09,0.1,0.37,0.21,0.12,0.0,0.21,0.07,0.12,0.68
5-6-1,0.0,0.06,0.04,0.1,0.18,0.21,0.09,0.04,0.04,0.22,0.06,0.63
5-6-2,0.08,0.06,0.0,0.0,0.05,0.25,0.06,0.08,0.08,0.74,0.0,0.41
5-6-3,0.0,0.0,0.04,0.0,0.14,0.13,0.06,0.0,0.0,0.22,0.06,0.77
5-6-4,0.0,0.23,0.18,0.1,0.09,0.25,0.18,0.04,0.0,0.22,0.0,0.14
6-1-2,0.87,0.17,0.4,0.05,0.27,0.51,0.36,0.17,0.34,0.59,0.64,0.36
6-1-3,1.26,0.06,0.13,0.0,0.46,0.21,0.09,0.17,0.21,1.04,0.23,0.5
6-1-4,1.5,0.0,0.13,0.0,0.32,0.13,0.12,0.12,0.17,0.0,0.23,0.18
6-1-5,0.0,0.06,0.09,0.0,0.23,0.3,0.24,0.21,0.08,0.59,0.12,0.27
6-2-1,1.42,0.0,0.18,0.05,0.09,0.72,0.12,0.04,0.25,0.89,0.29,0.23
6-2-3,0.87,0.0,0.04,0.0,0.41,0.42,0.09,0.0,0.04,0.59,0.12,0.27
6-2-4,1.03,0.06,0.0,0.0,0.27,0.59,0.06,0.0,0.04,0.07,0.41,0.18
6-2-5,0.24,0.11,0.04,0.0,0.05,0.17,0.09,0.0,0.13,0.37,0.0,0.45
6-3-1,0.55,0.0,0.04,0.0,0.14,0.08,0.03,0.04,0.0,0.67,0.23,0.27
6-3-2,1.03,0.0,0.09,0.0,0.23,0.25,0.09,0.08,0.04,0.37,0.06,0.18
6-3-4,0.63,0.0,0.18,0.0,0.18,0.3,0.12,0.0,0.0,0.0,0.06,0.18
6-3-5,0.24,0.11,0.09,0.0,0.18,0.13,0.03,0.04,0.0,0.52,0.0,0.41
6-4-1,0.55,0.06,0.13,0.0,0.14,0.25,0.09,0.08,0.04,0.0,0.18,0.14
6-4-2,0.55,0.06,0.18,0.0,0.41,0.47,0.03,0.08,0.0,0.07,0.0,0.18
6-4-3,0.95,0.0,0.0,0.0,0.18,0.08,0.03,0.04,0.0,0.07,0.18,0.14
6-4-5,0.16,0.0,0.09,0.05,0.23,0.42,0.06,0.04,0.0,0.0,0.0,0.27
6-5-1,0.16,0.0,0.0,0.1,0.09,0.21,0.06,0.04,0.0,0.07,0.0,0.14
6-5-2,0.08,0.0,0.18,0.0,0.09,0.38,0.03,0.0,0.0,0.3,0.06,0.27
6-5-3,0.08,0.0,0.04,0.05,0.14,0.04,0.06,0.08,0.04,0.37,0.12,0.14
6-5-4,0.08,0.11,0.0,0.0,0.14,0.21,0.06,0.0,0.0,0.0,0.0,0.18
