3連単,型00_1号艇軸_標準型,型01_4カド一撃型,型02_イン凹み_中枠強襲型,型03_1号艇一強_王道型,型04_イン凹み_中枠強襲型,型05_6号艇エース_展開型,型06_4カド一撃型,型07_イン凹み_中枠強襲型,型08_4号艇ド弱_壁抜け型,型09_6号艇ド弱_壁抜け型,型10_6号艇エース_展開型,型11_5号艇エース_展開型
2-1-6,0.65,0.21,3.94,0.54,0.97,2.07,0.5,0.68,1.83,0.12,1.06,1.93
2-3-1,1.73,0.42,1.08,0.51,0.94,0.93,0.18,1.41,1.06,1.17,0.72,0.42
2-3-4,1.3,0.37,1.45,0.32,1.09,0.93,0.5,1.99,0.71,0.68,0.05,0.47
2-3-5,0.29,0.31,0.66,0.25,0.49,0.0,0.18,1.56,0.88,0.8,0.14,0.85
2-3-6,0.47,0.0,1.64,0.06,0.97,1.24,0.21,0.15,1.3,0.12,0.34,0.42
2-4-1,0.72,0.52,1.78,0.38,0.64,0.78,0.75,1.17,0.41,0.68,0.24,0.66
2-4-3,0.51,0.42,1.08,0.22,0.67,0.52,0.57,1.56,0.18,0.93,0.19,0.38
2-4-5,0.29,0.63,0.56,0.22,0.6,0.1,0.53,1.99,0.12,0.49,0.29,0.99
2-4-6,0.25,0.0,1.74,0.13,0.45,0.72,0.21,0.39,0.41,0.19,0.14,0.75
2-5-1,0.18,0.1,0.7,0.25,0.49,0.1,0.04,1.7,0.65,0.62,0.38,1.18
2-5-3,0.33,0.1,0.38,0.13,0.49,0.05,0.07,1.12,0.88,0.56,0.14,0.38
2-5-4,0.11,0.37,0.52,0.19,0.15,0.0,0.21,1.6,0.29,0.49,0.0,0.61
2-5-6,0.04,0.05,0.56,0.03,0.3,0.0,0.04,0.44,0.65,0.0,0.1,0.94
2-6-1,0.18,0.0,1.08,0.16,0.22,0.78,0.11,0.05,0.82,0.0,0.53,0.71
2-6-3,0.22,0.0,0.99,0.06,0.34,0.72,0.04,0.24,0.65,0.0,0.24,0.42
2-6-4,0.07,0.05,0.84,0.03,0.26,0.78,0.21,0.19,0.12,0.12,0.34,0.38
2-6-5,0.0,0.0,0.61,0.03,0.19,0.1,0.18,0.24,0.59,0.12,0.14,0.94
3-1-2,2.24,0.68,0.66,0.89,1.68,0.98,0.39,1.46,1.65,1.79,1.25,0.47
3-1-4,1.99,1.99,1.08,1.58,2.54,1.97,1.6,1.12,1.24,2.04,1.44,0.38
3-1-5,0.9,0.52,0.52,1.49,2.54,0.31,0.39,0.63,1.83,1.6,0.91,0.66
3-1-6,0.87,0.0,1.13,0.6,1.53,1.6,0.57,0.29,1.47,0.12,1.68,0.33
3-2-1,1.08,0.26,0.56,0.38,0.45,0.72,0.14,0.73,0.41,1.3,0.29,0.24
3-2-4,1.55,0.58,0.84,0.35,1.2,0.72,0.39,0.88,0.24,1.3,0.19,0.38
3-2-5,0.58,0.31,0.19,0.25,1.09,0.05,0.14,1.17,0.71,1.3,0.19,0.42
3-2-6,0.4,0.1,1.36,0.13,0.79,0.62,0.11,0.49,1.36,0.19,0.48,0.28
3-4-1,0.9,0.84,0.33,0.66,1.35,0.52,0.85,0.53,0.35,0.74,0.48,0.14
3-4-2,0.54,0.21,0.84,0.13,1.05,0.57,0.21,0.83,0.41,0.37,0.19,0.19
3-4-5,0.54,0.26,0.28,0.38,1.31,0.1,0.43,1.26,0.47,0.93,0.43,0.28
3-4-6,0.36,0.1,0.7,0.16,1.42,1.19,0.18,0.58,0.18,0.12,0.14,0.33
3-5-1,0.22,0.1,0.19,0.54,0.97,0.05,0.14,0.68,1.06,0.68,0.38,0.57
3-5-2,0.25,0.21,0.14,0.19,0.56,0.05,0.0,1.02,0.53,0.56,0.24,0.33
3-5-4,0.14,0.31,0.28,0.41,0.86,0.05,0.11,0.58,0.41,0.68,0.29,0.47
3-5-6,0.18,0.0,0.23,0.13,0.82,0.1,0.14,0.15,0.71,0.25,0.24,0.52
3-6-1,0.36,0.1,0.28,0.09,0.56,0.83,0.14,0.05,0.88,0.06,0.38,0.52
3-6-2,0.18,0.0,0.89,0.06,0.45,0.67,0.14,0.29,0.41,0.06,0.19,0.19
