3連単,型00_6号艇エース_展開型,型01_6号艇エース_展開型,型02_4カド一撃型,型03_1強_6号艇ド弱型,型04_5号艇エース_展開型,型05_3号艇軸_標準型,型06_4カド一撃型,型07_1強_6号艇ド弱型,型08_1号艇一強_王道型,型09_イン凹み_中枠強襲型,型10_5号艇エース_展開型,型11_6号艇エース_展開型
4-5-1,0.23,0.1,0.92,0.4,0.38,0.43,1.81,0.57,0.37,0.56,1.12,0.1
4-5-2,0.04,0.0,0.31,0.15,0.16,0.43,0.67,0.19,0.05,0.56,0.45,0.3
4-5-3,0.04,0.1,0.37,0.35,0.16,0.35,0.87,0.09,0.08,0.37,0.22,0.0
4-5-6,0.38,0.1,0.72,0.0,0.22,0.24,0.34,0.09,0.21,0.25,0.41,0.74
4-6-1,0.27,0.67,0.89,0.15,0.16,0.08,0.13,0.0,0.05,0.34,0.19,0.39
4-6-2,0.3,0.56,0.44,0.05,0.05,0.08,0.07,0.0,0.1,0.2,0.16,0.25
4-6-3,0.38,0.46,0.37,0.0,0.0,0.08,0.07,0.05,0.03,0.11,0.13,0.15
4-6-5,0.34,0.15,0.51,0.05,0.38,0.16,0.07,0.05,0.08,0.2,0.38,0.25
5-1-2,0.08,0.05,0.27,0.3,1.14,0.31,0.13,1.23,0.24,0.45,1.34,0.64
5-1-3,0.42,0.05,0.1,0.15,1.08,0.67,0.07,0.76,0.29,0.23,0.73,0.2
5-1-4,0.04,0.0,0.48,0.15,0.43,0.2,0.94,0.71,0.24,0.08,1.08,0.25
5-1-6,0.49,0.05,0.34,0.0,0.76,0.08,0.13,0.14,0.21,0.08,0.64,0.39
5-2-1,0.08,0.0,0.14,0.1,0.6,0.12,0.2,0.8,0.1,0.23,0.57,0.15
5-2-3,0.08,0.05,0.03,0.05,0.49,0.16,0.13,0.38,0.05,0.08,0.26,0.05
5-2-4,0.08,0.1,0.03,0.0,0.22,0.12,0.13,0.09,0.05,0.39,0.32,0.15
5-2-6,0.15,0.05,0.14,0.05,0.43,0.12,0.07,0.09,0.1,0.14,0.26,0.3
5-3-1,0.15,0.0,0.1,0.05,0.7,0.35,0.2,0.24,0.1,0.17,0.35,0.2
5-3-2,0.04,0.0,0.07,0.0,0.7,0.24,0.2,0.19,0.08,0.2,0.16,0.05
5-3-4,0.04,0.0,0.07,0.0,0.33,0.28,0.2,0.09,0.03,0.03,0.16,0.1
5-3-6,0.19,0.0,0.0,0.0,0.43,0.31,0.13,0.0,0.03,0.2,0.16,0.1
5-4-1,0.11,0.05,0.24,0.25,0.27,0.43,0.47,0.24,0.1,0.17,0.38,0.05
5-4-2,0.04,0.0,0.14,0.15,0.05,0.08,0.81,0.19,0.05,0.23,0.13,0.05
5-4-3,0.23,0.0,0.03,0.05,0.38,0.2,0.27,0.19,0.05,0.2,0.26,0.05
5-4-6,0.3,0.0,0.31,0.0,0.16,0.16,0.07,0.05,0.13,0.11,0.38,0.2
5-6-1,0.42,0.05,0.14,0.15,0.43,0.08,0.0,0.05,0.13,0.17,0.45,0.25
5-6-2,0.15,0.05,0.1,0.0,0.49,0.0,0.0,0.09,0.05,0.14,0.45,0.3
5-6-3,0.27,0.0,0.07,0.0,0.22,0.04,0.0,0.0,0.03,0.06,0.06,0.1
5-6-4,0.11,0.0,0.07,0.0,0.05,0.08,0.0,0.05,0.0,0.08,0.03,0.15
6-1-2,0.49,0.61,0.34,0.05,0.11,0.16,0.0,0.0,0.29,0.11,0.19,1.92
6-1-3,1.14,1.23,0.03,0.05,0.33,0.12,0.0,0.0,0.08,0.06,0.22,0.98
6-1-4,0.42,0.61,0.44,0.1,0.11,0.08,0.0,0.0,0.16,0.11,0.13,0.79
6-1-5,0.27,0.26,0.07,0.0,0.16,0.04,0.0,0.05,0.13,0.14,0.03,0.49
6-2-1,0.27,0.87,0.14,0.05,0.11,0.0,0.0,0.0,0.21,0.17,0.1,1.43
6-2-3,0.27,0.51,0.03,0.1,0.33,0.0,0.0,0.0,0.05,0.14,0.06,0.89
6-2-4,0.15,0.41,0.03,0.0,0.05,0.08,0.0,0.0,0.05,0.14,0.03,0.64
6-2-5,0.08,0.1,0.14,0.05,0.05,0.0,0.0,0.0,0.03,0.17,0.0,0.54
6-3-1,0.83,0.46,0.14,0.1,0.16,0.04,0.07,0.05,0.08,0.03,0.0,0.44
6-3-2,0.11,0.41,0.0,0.0,0.05,0.04,0.0,0.0,0.05,0.11,0.06,0.54
6-3-4,0.42,0.2,0.17,0.0,0.11,0.08,0.0,0.0,0.1,0.03,0.03,0.39
6-3-5,0.23,0.31,0.0,0.0,0.0,0.08,0.0,0.0,0.03,0.0,0.0,0.25
6-4-1,0.27,0.77,0.37,0.1,0.0,0.04,0.13,0.0,0.05,0.06,0.03,0.1
6-4-2,0.15,0.26,0.24,0.05,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.54
6-4-3,0.27,0.2,0.1,0.0,0.0,0.08,0.0,0.05,0.0,0.14,0.0,0.1
6-4-5,0.11,0.0,0.2,0.05,0.05,0.04,0.07,0.0,0.0,0.06,0.1,0.15
6-5-1,0.23,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.05,0.06,0.13,0.39
6-5-2,0.08,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.06,0.06,0.34
6-5-3,0.27,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.03,0.0,0.15
6-5-4,0.15,0.0,0.14,0.0,0.05,0.0,0.0,0.0,0.0,0.03,0.0,0.2
