3連単,型00_イン凹み_中枠強襲型,型01_3号艇軸_標準型,型02_1号艇軸_標準型,型03_1強_6号艇ド弱型,型04_1号艇一強_王道型,型05_4カド一撃型,型06_2号艇軸_標準型,型07_イン凹み_中枠強襲型,型08_5号艇エース_展開型,型09_4カド一撃型,型10_1号艇一強_王道型,型11_6号艇エース_展開型
5-6-4,0.09,0.04,0.05,0.0,0.0,0.06,0.03,0.11,0.32,0.0,0.12,0.8
6-1-2,0.14,0.08,0.6,0.09,0.28,0.0,0.21,0.22,0.0,0.8,0.14,0.72
6-1-3,0.09,0.23,0.38,0.0,0.28,0.06,0.14,0.15,0.04,0.67,0.18,0.6
6-1-4,0.23,0.08,0.22,0.0,0.22,0.0,0.1,0.11,0.04,0.53,0.35,0.44
6-1-5,0.09,0.12,0.27,0.04,0.06,0.0,0.1,0.04,0.08,0.07,0.16,0.64
6-2-1,0.05,0.08,0.11,0.09,0.17,0.06,0.48,0.26,0.08,0.67,0.12,0.44
6-2-3,0.05,0.16,0.27,0.0,0.22,0.0,0.07,0.3,0.04,0.33,0.07,0.36
6-2-4,0.32,0.04,0.11,0.0,0.22,0.0,0.31,0.22,0.04,0.6,0.12,0.4
6-2-5,0.05,0.04,0.27,0.04,0.0,0.0,0.21,0.15,0.08,0.13,0.02,0.56
6-3-1,0.05,0.31,0.16,0.0,0.33,0.06,0.07,0.11,0.04,0.2,0.18,0.4
6-3-2,0.0,0.0,0.27,0.0,0.17,0.0,0.03,0.18,0.0,0.27,0.05,0.24
6-3-4,0.14,0.08,0.0,0.0,0.06,0.06,0.07,0.22,0.12,0.33,0.02,0.32
6-3-5,0.0,0.2,0.11,0.09,0.06,0.0,0.03,0.15,0.04,0.0,0.05,0.28
6-4-1,0.23,0.04,0.11,0.04,0.22,0.0,0.07,0.07,0.2,0.73,0.12,0.24
6-4-2,0.0,0.08,0.0,0.04,0.17,0.06,0.17,0.37,0.08,0.67,0.05,0.28
6-4-3,0.18,0.04,0.05,0.17,0.11,0.0,0.03,0.07,0.0,0.13,0.05,0.16
6-4-5,0.36,0.0,0.16,0.04,0.06,0.06,0.07,0.04,0.04,0.2,0.07,0.16
6-5-1,0.05,0.08,0.49,0.04,0.17,0.0,0.0,0.15,0.08,0.0,0.21,0.6
6-5-2,0.18,0.0,0.33,0.04,0.0,0.0,0.03,0.07,0.08,0.07,0.12,0.32
6-5-3,0.0,0.16,0.16,0.0,0.0,0.06,0.03,0.04,0.12,0.0,0.05,0.28
6-5-4,0.14,0.08,0.11,0.0,0.0,0.06,0.0,0.04,0.08,0.0,0.07,0.36
