3連単,型00_イン凹み_中枠強襲型,型01_1号艇一強_王道型,型02_5号艇エース_展開型,型03_イン凹み_中枠強襲型,型04_4カド一撃型,型05_イン凹み_中枠強襲型,型06_6号艇エース_展開型,型07_イン凹み_中枠強襲型,型08_6号艇エース_展開型,型09_4カド一撃型,型10_5号艇エース_展開型,型11_4カド一撃型
6-3-2,0.07,0.0,0.52,0.79,0.0,0.05,0.1,0.11,0.44,0.0,0.03,0.17
6-3-4,0.07,0.08,0.06,0.42,0.0,0.0,0.43,0.04,0.44,0.0,0.17,0.47
6-3-5,0.07,0.2,0.29,0.42,0.04,0.1,0.05,0.07,0.0,0.0,0.37,0.09
6-4-1,0.1,0.06,0.06,0.17,0.11,0.0,0.86,0.11,0.69,0.0,0.13,0.26
6-4-2,0.17,0.14,0.17,0.59,0.07,0.0,0.48,0.14,0.64,0.05,0.0,0.09
6-4-3,0.1,0.0,0.0,0.25,0.0,0.0,0.58,0.04,0.49,0.0,0.07,0.47
6-4-5,0.07,0.14,0.06,0.21,0.11,0.05,0.24,0.25,0.0,0.05,0.13,0.26
6-5-1,0.1,0.08,0.92,0.21,0.11,0.16,0.34,0.43,0.1,0.09,0.3,0.17
6-5-2,0.0,0.06,0.4,0.13,0.04,0.16,0.14,0.32,0.1,0.0,0.1,0.04
6-5-3,0.0,0.06,0.29,0.29,0.11,0.05,0.19,0.29,0.0,0.0,0.13,0.13
6-5-4,0.14,0.08,0.06,0.08,0.11,0.05,0.34,0.22,0.05,0.0,0.13,0.04
