3連単,型00_1号艇軸_標準型,型01_2号艇軸_標準型,型02_5号艇ド弱_壁抜け型,型03_4カド一撃型,型04_5号艇エース_展開型,型05_1号艇ド弱_壁抜け型,型06_4カド一撃型,型07_4号艇ド弱_壁抜け型,型08_6号艇エース_展開型,型09_6号艇エース_展開型,型10_4号艇ド弱_壁抜け型,型11_5号艇エース_展開型
6-2-5,0.06,0.22,0.0,0.0,0.0,0.09,0.0,0.05,0.13,0.22,0.09,0.4
6-3-1,0.09,0.06,0.15,0.0,0.0,0.09,0.07,0.1,0.78,0.47,0.28,0.46
6-3-2,0.09,0.09,0.0,0.0,0.0,0.29,0.11,0.05,0.65,0.22,0.37,0.6
6-3-4,0.06,0.06,0.0,0.05,0.04,0.17,0.18,0.05,0.52,0.14,0.09,0.13
6-3-5,0.06,0.06,0.05,0.0,0.04,0.06,0.07,0.0,0.06,0.18,0.19,0.6
6-4-1,0.06,0.12,0.1,0.0,0.0,0.2,0.36,0.0,0.78,0.32,0.05,0.0
6-4-2,0.06,0.09,0.05,0.05,0.04,0.12,0.14,0.0,0.52,0.32,0.09,0.07
6-4-3,0.15,0.09,0.1,0.0,0.0,0.23,0.04,0.0,0.45,0.11,0.14,0.0
6-4-5,0.06,0.12,0.0,0.0,0.16,0.09,0.07,0.0,0.06,0.36,0.05,0.13
6-5-1,0.03,0.06,0.0,0.0,0.04,0.06,0.14,0.05,0.0,0.54,0.09,0.4
6-5-2,0.06,0.06,0.05,0.0,0.0,0.14,0.11,0.0,0.0,0.29,0.05,0.4
6-5-3,0.18,0.12,0.0,0.0,0.0,0.09,0.04,0.05,0.06,0.04,0.09,0.13
6-5-4,0.03,0.06,0.0,0.0,0.04,0.0,0.04,0.05,0.0,0.22,0.05,0.07
