3連単,型00_6号艇エース_展開型,型01_4カド一撃型,型02_2号艇ド弱_壁抜け型,型03_5号艇エース_展開型,型04_イン凹み_中枠強襲型,型05_1強_6号艇ド弱型,型06_6号艇ド弱_壁抜け型,型07_1号艇一強_王道型,型08_イン凹み_中枠強襲型,型09_1号艇一強_王道型,型10_イン凹み_中枠強襲型,型11_6号艇エース_展開型
5-3-1,0.0,0.11,0.28,0.75,0.08,0.09,0.83,0.12,0.53,0.21,0.38,0.0
5-3-2,0.0,0.04,0.05,0.22,0.29,0.05,0.33,0.0,0.48,0.12,0.17,0.08
5-3-4,0.2,0.15,0.05,0.4,0.25,0.14,0.22,0.12,0.05,0.0,0.28,0.3
5-3-6,0.0,0.04,0.14,0.35,0.04,0.0,0.17,0.0,0.27,0.12,0.24,0.23
5-4-1,0.07,0.31,0.09,0.66,0.21,0.52,0.33,0.06,0.16,0.15,0.21,0.15
5-4-2,0.07,0.15,0.05,0.4,0.5,0.24,0.17,0.0,0.0,0.18,0.17,0.23
5-4-3,0.0,0.19,0.09,0.22,0.42,0.09,0.28,0.06,0.0,0.09,0.34,0.08
5-4-6,0.0,0.27,0.14,0.62,0.54,0.14,0.06,0.06,0.11,0.09,0.34,0.38
5-6-1,0.0,0.11,0.28,0.93,0.0,0.14,0.11,0.06,0.53,0.15,0.31,0.38
5-6-2,0.0,0.11,0.14,0.31,0.0,0.05,0.0,0.0,0.43,0.03,0.24,0.15
5-6-3,0.0,0.11,0.19,0.27,0.13,0.05,0.0,0.0,0.64,0.03,0.1,0.11
5-6-4,0.0,0.15,0.09,0.18,0.21,0.05,0.0,0.0,0.21,0.03,0.14,0.38
6-1-2,1.49,0.42,0.75,0.35,0.08,0.0,0.0,0.35,0.64,0.24,0.24,0.91
6-1-3,1.29,0.08,1.6,0.27,0.04,0.09,0.06,0.12,0.53,0.24,0.45,0.65
6-1-4,1.09,0.23,0.38,0.22,0.17,0.0,0.0,0.29,0.11,0.06,0.34,0.84
6-1-5,0.2,0.04,0.42,0.27,0.0,0.09,0.0,0.18,0.27,0.18,0.24,0.42
6-2-1,1.15,0.0,0.19,0.09,0.13,0.0,0.0,0.18,0.48,0.18,0.21,0.57
6-2-3,1.43,0.0,0.09,0.0,0.0,0.05,0.11,0.23,0.48,0.06,0.0,0.19
6-2-4,0.61,0.04,0.14,0.04,0.17,0.0,0.0,0.0,0.32,0.09,0.14,0.65
6-2-5,0.14,0.04,0.09,0.04,0.04,0.0,0.0,0.12,0.48,0.06,0.21,0.11
6-3-1,0.82,0.11,0.85,0.09,0.0,0.0,0.06,0.23,0.11,0.09,0.21,0.15
6-3-2,0.95,0.0,0.19,0.04,0.04,0.05,0.0,0.12,0.37,0.18,0.28,0.19
6-3-4,0.68,0.08,0.09,0.04,0.0,0.0,0.06,0.06,0.11,0.03,0.17,0.11
6-3-5,0.07,0.0,0.24,0.13,0.0,0.0,0.06,0.0,0.43,0.03,0.38,0.0
6-4-1,0.34,0.23,0.47,0.04,0.04,0.05,0.0,0.12,0.0,0.06,0.21,0.57
6-4-2,0.88,0.08,0.24,0.04,0.17,0.0,0.0,0.18,0.21,0.0,0.21,0.38
6-4-3,0.61,0.0,0.24,0.04,0.0,0.05,0.06,0.0,0.11,0.06,0.21,0.23
6-4-5,0.0,0.0,0.0,0.09,0.08,0.0,0.06,0.06,0.16,0.0,0.17,0.23
6-5-1,0.14,0.19,0.19,0.35,0.08,0.05,0.0,0.0,0.21,0.0,0.07,0.46
6-5-2,0.07,0.0,0.19,0.18,0.0,0.0,0.06,0.0,0.27,0.12,0.1,0.0
6-5-3,0.07,0.0,0.09,0.18,0.04,0.0,0.0,0.0,0.43,0.03,0.07,0.08
6-5-4,0.0,0.04,0.0,0.22,0.04,0.0,0.17,0.12,0.27,0.0,0.1,0.08
